Age,Heigh,DBH,LargeTimber,SmallTimber,Total,Increase
20,"7,8",-,63,107,170,9
21,"8,240",,"72,400","105,200","177,600",9
22,"8,680",,"81,800","103,400","185,200",9
23,"9,120",,"91,200","101,600","192,800",9
24,"9,560",,"100,600","99,800","200,400",9
25,10,"8,7",110,98,208,9
26,"10,400","9,180","118,800","95,000","213,800",9
27,"10,800","9,660","127,600","92,000","219,600",9
28,"11,200","10,140","136,400","89,000","225,400",9
29,"11,600","10,620","145,200","86,000","231,200",9
30,12,"11,1",154,83,237,10
31,"12,380","11,580","161,600","80,400","242,000","10,240"
32,"12,760","12,060","169,200","77,800","247,000","10,480"
33,"13,140","12,540","176,800","75,200","252,000","10,720"
34,"13,520","13,020","184,400","72,600","257,000","10,960"
35,"13,9","13,5",192,70,262,"11,2"
36,"14,260","13,980","199,000","68,400","267,400","11,320"
37,"14,620","14,460","206,000","66,800","272,800","11,440"
38,"14,980","14,940","213,000","65,200","278,200","11,560"
39,"15,340","15,420","220,000","63,600","283,600","11,680"
40,"15,7","15,9",227,62,289,"11,8"
41,"16,040","16,360","232,800","61,000","293,800","11,740"
42,"16,380","16,820","238,600","60,000","298,600","11,680"
43,"16,720","17,280","244,400","59,000","303,400","11,620"
44,"17,060","17,740","250,200","58,000","308,200","11,560"
45,"17,4","18,2",256,57,313,"11,5"
46,"17,700","18,620","261,200","56,200","317,400","11,400"
47,"18,000","19,040","266,400","55,400","321,800","11,300"
48,"18,300","19,460","271,600","54,600","326,200","11,200"
49,"18,600","19,880","276,800","53,800","330,600","11,100"
50,"18,9","20,3",282,53,335,11
51,"19,180","20,660","286,800","52,600","339,400","10,900"
52,"19,460","21,020","291,600","52,200","343,800","10,800"
53,"19,740","21,380","296,400","51,800","348,200","10,700"
54,"20,020","21,740","301,200","51,400","352,600","10,600"
55,"20,3","22,1",306,51,357,"10,5"
56,"20,560","22,440","310,400","50,600","361,000","10,380"
57,"20,820","22,780","314,800","50,200","365,000","10,260"
58,"21,080","23,120","319,200","49,800","369,000","10,140"
59,"21,340","23,460","323,600","49,400","373,000","10,020"
60,"21,6","23,8",328,49,377,"9,9"
61,"21,820","24,120","331,800","48,600","380,400","9,760"
62,"22,040","24,440","335,600","48,200","383,800","9,620"
63,"22,260","24,760","339,400","47,800","387,200","9,480"
64,"22,480","25,080","343,200","47,400","390,600","9,340"
65,"22,7","25,4",347,47,394,"9,2"
66,"22,900","25,720","350,200","46,800","397,000","9,080"
67,"23,100","26,040","353,400","46,600","400,000","8,960"
68,"23,300","26,360","356,600","46,400","403,000","8,840"
69,"23,500","26,680","359,800","46,200","406,000","8,720"
70,"23,7",27,363,46,409,"8,6"
71,"23,880","27,300","366,000","45,600","411,600","8,520"
72,"24,060","27,600","369,000","45,200","414,200","8,440"
73,"24,240","27,900","372,000","44,800","416,800","8,360"
74,"24,420","28,200","375,000","44,400","419,400","8,280"
75,"24,6","28,5",378,44,422,"8,2"
76,"24,760","28,780","380,600","43,800","424,400","8,120"
77,"24,920","29,060","383,200","43,600","426,800","8,040"
78,"25,080","29,340","385,800","43,400","429,200","7,960"
79,"25,240","29,620","388,400","43,200","431,600","7,880"
80,"25,4","29,9",391,43,434,"7,8"
81,"25,540","30,180","393,400","42,800","436,200","7,720"
82,"25,680","30,460","395,800","42,600","438,400","7,640"
83,"25,820","30,740","398,200","42,400","440,600","7,560"
84,"25,960","31,020","400,600","42,200","442,800","7,480"
85,"26,1","31,3",403,42,445,"7,4"
86,"26,240","31,580","405,000","42,000","447,000","7,340"
87,"26,380","31,860","407,000","42,000","449,000","7,280"
88,"26,520","32,140","409,000","42,000","451,000","7,220"
89,"26,660","32,420","411,000","42,000","453,000","7,160"
90,"26,8","32,7",413,42,455,"7,1"
91,"26,920","32,980","414,800","41,800","456,600","7,040"
92,"27,040","33,260","416,600","41,600","458,200","6,980"
93,"27,160","33,540","418,400","41,400","459,800","6,920"
94,"27,280","33,820","420,200","41,200","461,400","6,860"
95,"27,4","34,1",422,41,463,"6,8"
96,"27,520","34,360","423,400","41,000","464,400","6,740"
97,"27,640","34,620","424,800","41,000","465,800","6,680"
98,"27,760","34,880","426,200","41,000","467,200","6,620"
99,"27,880","35,140","427,600","41,000","468,600","6,560"
100,28,"35,4",429,41,470,"6,5"
101,"28,120","35,660","430,200","41,000","471,200",
102,"28,240","35,920","431,400","41,000","472,400",
103,"28,360","36,180","432,600","41,000","473,600",
104,"28,480","36,440","433,800","41,000","474,800",
105,"28,6","36,7",435,41,476,
106,"28,700","36,940","436,200","40,800","477,000",
107,"28,800","37,180","437,400","40,600","478,000",
108,"28,900","37,420","438,600","40,400","479,000",
109,"29,000","37,660","439,800","40,200","480,000",
110,"29,1","37,9",441,40,481,
111,"29,200","38,120","442,200","39,800","482,000",
112,"29,300","38,340","443,400","39,600","483,000",
113,"29,400","38,560","444,600","39,400","484,000",
114,"29,500","38,780","445,800","39,200","485,000",
115,"29,6",39,447,39,486,
116,"29,700","39,200","448,000","39,000","487,000",
117,"29,800","39,400","449,000","39,000","488,000",
118,"29,900","39,600","450,000","39,000","489,000",
119,"30,000","39,800","451,000","39,000","490,000",
120,"30,1",40,452,39,491,
121,"30,180","40,160","452,600","38,800","491,400",
122,"30,260","40,320","453,200","38,600","491,800",
123,"30,340","40,480","453,800","38,400","492,200",
124,"30,420","40,640","454,400","38,200","492,600",
125,"30,5","40,8",455,38,493,
126,"30,580","40,960","455,400","37,800","493,200",
127,"30,660","41,120","455,800","37,600","493,400",
128,"30,740","41,280","456,200","37,400","493,600",
129,"30,820","41,440","456,600","37,200","493,800",
130,"30,9","41,6",457,37,494,
131,"30,960","41,760","457,200","36,800","494,000",
132,"31,020","41,920","457,400","36,600","494,000",
133,"31,080","42,080","457,600","36,400","494,000",
134,"31,140","42,240","457,800","36,200","494,000",
135,"31,2","42,4",458,36,494,
136,"31,260","42,540","458,000","36,000","494,000",
137,"31,320","42,680","458,000","36,000","494,000",
138,"31,380","42,820","458,000","36,000","494,000",
139,"31,440","42,960","458,000","36,000","494,000",
140,"31,5","43,1",458,36,494,